Year,RaceName,Round,Position,Number,DriverId,Driver,ConstructorId,Laps,Grid,Time,Status,Points
2021,British Grand Prix,10,1,33,max_verstappen,Max Verstappen,red_bull,17,2,25:38.426,Finished,3
2021,British Grand Prix,10,2,44,hamilton,Lewis Hamilton,mercedes,17,1,+1.430,Finished,2
2021,British Grand Prix,10,3,77,bottas,Valtteri Bottas,mercedes,17,3,+7.502,Finished,1
2021,British Grand Prix,10,4,16,leclerc,Charles Leclerc,ferrari,17,4,+11.278,Finished,0
2021,British Grand Prix,10,5,4,norris,Lando Norris,mclaren,17,6,+24.111,Finished,0
2021,British Grand Prix,10,6,3,ricciardo,Daniel Ricciardo,mclaren,17,7,+30.959,Finished,0
2021,British Grand Prix,10,7,14,alonso,Fernando Alonso,alpine,17,11,+43.527,Finished,0
2021,British Grand Prix,10,8,5,vettel,Sebastian Vettel,aston_martin,17,10,+44.439,Finished,0
2021,British Grand Prix,10,9,63,russell,George Russell,williams,17,8,+46.652,Finished,0
2021,British Grand Prix,10,10,31,ocon,Esteban Ocon,alpine,17,13,+47.395,Finished,0
2021,British Grand Prix,10,11,55,sainz,Carlos Sainz,ferrari,17,9,+47.798,Finished,0
2021,British Grand Prix,10,12,10,gasly,Pierre Gasly,alphatauri,17,12,+48.763,Finished,0
2021,British Grand Prix,10,13,7,raikkonen,Kimi Räikkönen,alfa,17,17,+50.677,Finished,0
2021,British Grand Prix,10,14,18,stroll,Lance Stroll,aston_martin,17,15,+52.179,Finished,0
2021,British Grand Prix,10,15,99,giovinazzi,Antonio Giovinazzi,alfa,17,14,+53.225,Finished,0
2021,British Grand Prix,10,16,22,tsunoda,Yuki Tsunoda,alphatauri,17,16,+53.567,Finished,0
2021,British Grand Prix,10,17,6,latifi,Nicholas Latifi,williams,17,18,+55.162,Finished,0
2021,British Grand Prix,10,18,47,mick_schumacher,Mick Schumacher,haas,17,19,+1:08.213,Finished,0
2021,British Grand Prix,10,19,9,mazepin,Nikita Mazepin,haas,17,20,+1:17.648,Finished,0
2021,British Grand Prix,10,20,11,perez,Sergio Pérez,red_bull,16,5,,Vibrations,0
2021,Italian Grand Prix,14,1,33,max_verstappen,Max Verstappen,red_bull,17,2,25:38.426,Finished,3
2021,Italian Grand Prix,14,2,44,hamilton,Lewis Hamilton,mercedes,17,1,+1.430,Finished,2
2021,Italian Grand Prix,14,3,77,bottas,Valtteri Bottas,mercedes,17,3,+7.502,Finished,1
2021,Italian Grand Prix,14,4,16,leclerc,Charles Leclerc,ferrari,17,4,+11.278,Finished,0
2021,Italian Grand Prix,14,5,4,norris,Lando Norris,mclaren,17,6,+24.111,Finished,0
2021,Italian Grand Prix,14,6,3,ricciardo,Daniel Ricciardo,mclaren,17,7,+30.959,Finished,0
2021,Italian Grand Prix,14,7,14,alonso,Fernando Alonso,alpine,17,11,+43.527,Finished,0
2021,Italian Grand Prix,14,8,5,vettel,Sebastian Vettel,aston_martin,17,10,+44.439,Finished,0
2021,Italian Grand Prix,14,9,63,russell,George Russell,williams,17,8,+46.652,Finished,0
2021,Italian Grand Prix,14,10,31,ocon,Esteban Ocon,alpine,17,13,+47.395,Finished,0
2021,Italian Grand Prix,14,11,55,sainz,Carlos Sainz,ferrari,17,9,+47.798,Finished,0
2021,Italian Grand Prix,14,12,10,gasly,Pierre Gasly,alphatauri,17,12,+48.763,Finished,0
2021,Italian Grand Prix,14,13,7,raikkonen,Kimi Räikkönen,alfa,17,17,+50.677,Finished,0
2021,Italian Grand Prix,14,14,18,stroll,Lance Stroll,aston_martin,17,15,+52.179,Finished,0
2021,Italian Grand Prix,14,15,99,giovinazzi,Antonio Giovinazzi,alfa,17,14,+53.225,Finished,0
2021,Italian Grand Prix,14,16,22,tsunoda,Yuki Tsunoda,alphatauri,17,16,+53.567,Finished,0
2021,Italian Grand Prix,14,17,6,latifi,Nicholas Latifi,williams,17,18,+55.162,Finished,0
2021,Italian Grand Prix,14,18,47,mick_schumacher,Mick Schumacher,haas,17,19,+1:08.213,Finished,0
2021,Italian Grand Prix,14,19,9,mazepin,Nikita Mazepin,haas,17,20,+1:17.648,Finished,0
2021,Italian Grand Prix,14,20,11,perez,Sergio Pérez,red_bull,16,5,,Vibrations,0
2021,São Paulo Grand Prix,19,1,33,max_verstappen,Max Verstappen,red_bull,17,2,25:38.426,Finished,3
2021,São Paulo Grand Prix,19,2,44,hamilton,Lewis Hamilton,mercedes,17,1,+1.430,Finished,2
2021,São Paulo Grand Prix,19,3,77,bottas,Valtteri Bottas,mercedes,17,3,+7.502,Finished,1
2021,São Paulo Grand Prix,19,4,16,leclerc,Charles Leclerc,ferrari,17,4,+11.278,Finished,0
2021,São Paulo Grand Prix,19,5,4,norris,Lando Norris,mclaren,17,6,+24.111,Finished,0
2021,São Paulo Grand Prix,19,6,3,ricciardo,Daniel Ricciardo,mclaren,17,7,+30.959,Finished,0
2021,São Paulo Grand Prix,19,7,14,alonso,Fernando Alonso,alpine,17,11,+43.527,Finished,0
2021,São Paulo Grand Prix,19,8,5,vettel,Sebastian Vettel,aston_martin,17,10,+44.439,Finished,0
2021,São Paulo Grand Prix,19,9,63,russell,George Russell,williams,17,8,+46.652,Finished,0
2021,São Paulo Grand Prix,19,10,31,ocon,Esteban Ocon,alpine,17,13,+47.395,Finished,0
2021,São Paulo Grand Prix,19,11,55,sainz,Carlos Sainz,ferrari,17,9,+47.798,Finished,0
2021,São Paulo Grand Prix,19,12,10,gasly,Pierre Gasly,alphatauri,17,12,+48.763,Finished,0
2021,São Paulo Grand Prix,19,13,7,raikkonen,Kimi Räikkönen,alfa,17,17,+50.677,Finished,0
2021,São Paulo Grand Prix,19,14,18,stroll,Lance Stroll,aston_martin,17,15,+52.179,Finished,0
2021,São Paulo Grand Prix,19,15,99,giovinazzi,Antonio Giovinazzi,alfa,17,14,+53.225,Finished,0
2021,São Paulo Grand Prix,19,16,22,tsunoda,Yuki Tsunoda,alphatauri,17,16,+53.567,Finished,0
2021,São Paulo Grand Prix,19,17,6,latifi,Nicholas Latifi,williams,17,18,+55.162,Finished,0
2021,São Paulo Grand Prix,19,18,47,mick_schumacher,Mick Schumacher,haas,17,19,+1:08.213,Finished,0
2021,São Paulo Grand Prix,19,19,9,mazepin,Nikita Mazepin,haas,17,20,+1:17.648,Finished,0
2021,São Paulo Grand Prix,19,20,11,perez,Sergio Pérez,red_bull,16,5,,Vibrations,0
2022,Emilia Romagna Grand Prix,4,1,33,max_verstappen,Max Verstappen,red_bull,17,2,25:38.426,Finished,3
2022,Emilia Romagna Grand Prix,4,2,44,hamilton,Lewis Hamilton,mercedes,17,1,+1.430,Finished,2
2022,Emilia Romagna Grand Prix,4,3,77,bottas,Valtteri Bottas,mercedes,17,3,+7.502,Finished,1
2022,Emilia Romagna Grand Prix,4,4,16,leclerc,Charles Leclerc,ferrari,17,4,+11.278,Finished,0
2022,Emilia Romagna Grand Prix,4,5,4,norris,Lando Norris,mclaren,17,6,+24.111,Finished,0
2022,Emilia Romagna Grand Prix,4,6,3,ricciardo,Daniel Ricciardo,mclaren,17,7,+30.959,Finished,0
2022,Emilia Romagna Grand Prix,4,7,14,alonso,Fernando Alonso,alpine,17,11,+43.527,Finished,0
2022,Emilia Romagna Grand Prix,4,8,5,vettel,Sebastian Vettel,aston_martin,17,10,+44.439,Finished,0
2022,Emilia Romagna Grand Prix,4,9,63,russell,George Russell,williams,17,8,+46.652,Finished,0
2022,Emilia Romagna Grand Prix,4,10,31,ocon,Esteban Ocon,alpine,17,13,+47.395,Finished,0
2022,Emilia Romagna Grand Prix,4,11,55,sainz,Carlos Sainz,ferrari,17,9,+47.798,Finished,0
2022,Emilia Romagna Grand Prix,4,12,10,gasly,Pierre Gasly,alphatauri,17,12,+48.763,Finished,0
2022,Emilia Romagna Grand Prix,4,13,7,raikkonen,Kimi Räikkönen,alfa,17,17,+50.677,Finished,0
2022,Emilia Romagna Grand Prix,4,14,18,stroll,Lance Stroll,aston_martin,17,15,+52.179,Finished,0
2022,Emilia Romagna Grand Prix,4,15,99,giovinazzi,Antonio Giovinazzi,alfa,17,14,+53.225,Finished,0
2022,Emilia Romagna Grand Prix,4,16,22,tsunoda,Yuki Tsunoda,alphatauri,17,16,+53.567,Finished,0
2022,Emilia Romagna Grand Prix,4,17,6,latifi,Nicholas Latifi,williams,17,18,+55.162,Finished,0
2022,Emilia Romagna Grand Prix,4,18,47,mick_schumacher,Mick Schumacher,haas,17,19,+1:08.213,Finished,0
2022,Emilia Romagna Grand Prix,4,19,9,mazepin,Nikita Mazepin,haas,17,20,+1:17.648,Finished,0
2022,Emilia Romagna Grand Prix,4,20,11,perez,Sergio Pérez,red_bull,16,5,,Vibrations,0
2022,Austrian Grand Prix,11,1,33,max_verstappen,Max Verstappen,red_bull,17,2,25:38.426,Finished,3
2022,Austrian Grand Prix,11,2,44,hamilton,Lewis Hamilton,mercedes,17,1,+1.430,Finished,2
2022,Austrian Grand Prix,11,3,77,bottas,Valtteri Bottas,mercedes,17,3,+7.502,Finished,1
